nom_tentative,date_heure,ARI,temps_sec
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_TF_IDF_description,2025-06-07 23:38,0.5209593240790362,0.023563146591186523
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_TF_IDF_description,2025-06-07 23:38,0.5209593240790362,0.023563146591186523
kmeans_word2Vec_description,2025-06-07 23:38,0.17437773663731507,0.031502723693847656
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_TF_IDF_description,2025-06-07 23:38,0.5209593240790362,0.023563146591186523
kmeans_word2Vec_description,2025-06-07 23:38,0.17437773663731507,0.031502723693847656
kmeans_word2Vec_titre,2025-06-07 23:38,0.1380252844763661,0.046378135681152344
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_TF_IDF_description,2025-06-07 23:38,0.5209593240790362,0.023563146591186523
kmeans_word2Vec_description,2025-06-07 23:38,0.17437773663731507,0.031502723693847656
kmeans_word2Vec_titre,2025-06-07 23:38,0.1380252844763661,0.046378135681152344
kmeans_bert,2025-06-07 23:40,0.2829265777333135,0.06659579277038574
kmeans_bag_of_words_description,2025-06-07 23:37,0.35897461321094876,0.02250051498413086
kmeans_bag_of_words_titre,2025-06-07 23:37,0.3929733660837126,0.025436878204345703
kmeans_TF_IDF_description,2025-06-07 23:38,0.5209593240790362,0.023563146591186523
kmeans_word2Vec_description,2025-06-07 23:38,0.17437773663731507,0.031502723693847656
kmeans_word2Vec_titre,2025-06-07 23:38,0.1380252844763661,0.046378135681152344
kmeans_bert,2025-06-07 23:40,0.2829265777333135,0.06659579277038574
kmeans_use,2025-06-07 23:40,0.3373140480269247,0.06684231758117676
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_TF_IDF_description,2025-06-08 12:47,0.5209593240790362,0.03201913833618164
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_TF_IDF_description,2025-06-08 12:47,0.5209593240790362,0.03201913833618164
kmeans_word2Vec_description,2025-06-08 12:47,0.15884639740972176,0.045252084732055664
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_TF_IDF_description,2025-06-08 12:47,0.5209593240790362,0.03201913833618164
kmeans_word2Vec_description,2025-06-08 12:47,0.15884639740972176,0.045252084732055664
kmeans_word2Vec_titre,2025-06-08 12:47,0.13636067725891632,0.047612905502319336
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_TF_IDF_description,2025-06-08 12:47,0.5209593240790362,0.03201913833618164
kmeans_word2Vec_description,2025-06-08 12:47,0.15884639740972176,0.045252084732055664
kmeans_word2Vec_titre,2025-06-08 12:47,0.13636067725891632,0.047612905502319336
kmeans_bert,2025-06-08 13:41,0.2829265777333135,0.12397480010986328
kmeans_bag_of_words_description,2025-06-08 12:47,0.35897461321094876,0.039102792739868164
kmeans_bag_of_words_titre,2025-06-08 12:47,0.3929733660837126,0.04035782814025879
kmeans_TF_IDF_description,2025-06-08 12:47,0.5209593240790362,0.03201913833618164
kmeans_word2Vec_description,2025-06-08 12:47,0.15884639740972176,0.045252084732055664
kmeans_word2Vec_titre,2025-06-08 12:47,0.13636067725891632,0.047612905502319336
kmeans_bert,2025-06-08 13:41,0.2829265777333135,0.12397480010986328
kmeans_use,2025-06-08 13:41,0.3373140480269247,0.0989997386932373
kmeans_bag_of_words_description,2025-06-08 13:53,0.35897461321094876,0.037384986877441406
kmeans_bag_of_words_description,2025-06-08 13:53,0.35897461321094876,0.037384986877441406
kmeans_bag_of_words_titre,2025-06-08 13:53,0.3929733660837126,0.03487730026245117
kmeans_bag_of_words_description,2025-06-08 13:53,0.35897461321094876,0.037384986877441406
kmeans_bag_of_words_titre,2025-06-08 13:53,0.3929733660837126,0.03487730026245117
kmeans_TF_IDF_description,2025-06-08 13:53,0.5209593240790362,0.04589438438415527
kmeans_bag_of_words_description,2025-06-08 13:53,0.35897461321094876,0.037384986877441406
